Country,Code,ContinentCode,Year,Average hours worked per year
Australia,AUS,OC,2023,1713.11
Austria,AUT,EU,2023,1435
Belgium,BEL,EU,2023,1436.96
Canada,CAN,NA,2023,1685.01
Chile,CHL,SA,2023,1961.92
Czechia,CZE,EU,2023,1774.17
Denmark,DNK,EU,2023,1379.95
Estonia,EST,EU,2023,1742
Finland,FIN,EU,2023,1499
France,FRA,EU,2023,1487.1
Germany,DEU,EU,2023,1342.65
Greece,GRC,EU,2023,1897
Hungary,HUN,EU,2023,1679.2
Iceland,ISL,EU,2023,1443.65
Ireland,IRL,EU,2023,1632.85
Italy,ITA,EU,2023,1734.41
Japan,JPN,AS,2023,1607
Latvia,LVA,EU,2023,1548
Lithuania,LTU,EU,2023,1641
Luxembourg,LUX,EU,2023,1451.82
Mexico,MEX,NA,2023,2206.63
Netherlands,NLD,EU,2023,1449.19
New Zealand,NZL,OC,2023,1751.23
Norway,NOR,EU,2023,1418.43
Poland,POL,EU,2023,1803
Portugal,PRT,EU,2023,1631
Slovakia,SVK,EU,2023,1627.12
Slovenia,SVN,EU,2023,1616.1
South Korea,KOR,AS,2023,1895.79
Spain,ESP,EU,2023,1632.28
Sweden,SWE,EU,2023,1437
United Kingdom,GBR,EU,2023,1524
USA,USA,NA,2023,1705.17
