ce_id,country_name,export_price_gdp_nominal,export_price_gdp_ppp,export_price_mean_income,import_price_gdp_nominal,import_price_gdp_ppp,import_price_mean_income
1,Germany,803.492,1023.24,985.41,49.7827,49.7827,51.6941
2,Japan,421.11,620.991,594.452,94.9871,94.9871,99.2277
3,United Kingdom,645.68,760.046,800.497,61.9502,61.9502,58.8197
4,France,601.048,784.316,785.657,66.5504,66.5504,66.4369
5,Italy,450.475,667.586,565.809,88.7951,88.7951,104.768
6,Canada,643.561,765.134,798.973,62.1542,62.1542,59.5218
7,Spain,410.579,652.216,648.165,97.4233,97.4233,98.0322
8,Australia,756.938,823.222,798.6,52.8445,52.8445,54.4737
9,Mexico,125.314,225.272,183.434,319.197,319.197,391.999
10,Netherlands,891.146,1080.68,999.362,44.886,44.886,48.5383
11,Poland,245.649,518.664,447.99,162.834,162.834,188.522
12,Belgium,761.192,961.184,1022.91,52.5492,52.5492,49.3783
13,Sweden,773.376,936.101,798.414,51.7213,51.7213,60.6406
14,Ireland,1272.47,1529.85,721.091,31.4349,31.4349,66.6916
15,Austria,780.956,982.283,996.199,51.2193,51.2193,50.5038
16,Norway,1233.72,1416.18,1027.57,32.4222,32.4222,44.6835
17,Denmark,992.121,1068.7,1006.06,40.3177,40.3177,42.828
18,Czechia,356.122,599.911,404.588,112.321,112.321,166.546
19,Chile,173.983,334.38,377.563,229.908,229.908,203.613
20,Portugal,335.822,581.563,464.034,119.111,119.111,149.279
